datetime,BTCUSD,ETHUSD,SOLUSD,XRPUSD
2026-02-17 00:00:00+00:00,0.49349794,0.4845946,0.42878035,0.5116437
2026-02-17 01:00:00+00:00,0.6095457,0.6205519,0.5468602,0.55432963
2026-02-17 03:00:00+00:00,0.49115402,0.50698024,0.44083625,0.39851642
2026-02-17 04:00:00+00:00,0.6272795,0.49728817,0.47051755,0.41423997
2026-02-17 05:00:00+00:00,0.52610165,0.48578066,0.3934548,0.4667268
2026-02-17 06:00:00+00:00,0.6189205,0.47703218,0.43192047,0.49526083
2026-02-17 07:00:00+00:00,0.5944588,0.61183965,0.50130534,0.5412076
2026-02-17 08:00:00+00:00,0.58052844,0.552004,0.4523273,0.5370391
2026-02-17 09:00:00+00:00,0.6067353,0.6068484,0.475932,0.5875748
2026-02-17 11:00:00+00:00,0.58844936,0.5940741,0.5420443,0.6066838
2026-02-17 12:00:00+00:00,0.6018164,0.48739403,0.48219135,0.549276
2026-02-17 13:00:00+00:00,0.671762,0.54040205,0.61982876,0.5662614
2026-02-17 14:00:00+00:00,0.49924642,0.47040784,0.4441421,0.41430175
2026-02-17 15:00:00+00:00,0.645643,0.55006963,0.40560165,0.5722397
2026-02-17 16:00:00+00:00,0.5452928,0.4428997,0.45706722,0.5619736
2026-02-17 17:00:00+00:00,0.6249598,0.5262769,0.4152412,0.49338102
2026-02-17 18:00:00+00:00,0.6585127,0.54006076,0.5578248,0.5743426
2026-02-17 19:00:00+00:00,0.5648544,0.54098207,0.4388549,0.48329124
2026-02-17 20:00:00+00:00,0.60117745,0.5450772,0.45294136,0.4499338
2026-02-17 21:00:00+00:00,0.567163,0.5143524,0.53934544,0.53701353
2026-02-17 22:00:00+00:00,0.6722408,0.52513856,0.5008675,0.507367
2026-02-17 23:00:00+00:00,0.6262605,0.5449718,0.47907767,0.52640414
2026-02-18 00:00:00+00:00,0.5455803,0.59112036,0.5042371,0.48933083
2026-02-18 01:00:00+00:00,0.65020156,0.63565016,0.5809431,0.5943891
2026-02-18 02:00:00+00:00,0.46591038,0.43204963,0.48352292,0.41779697
2026-02-18 03:00:00+00:00,0.43965137,0.5076032,0.43819624,0.41241762
2026-02-18 04:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 05:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 06:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 07:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 08:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 09:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 10:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 11:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 12:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 13:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 14:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 15:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 16:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 17:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 18:00:00+00:00,0.50000000,0.50000000,0.50000000,0.50000000
2026-02-18 19:00:00+00:00,0.64107406,0.6267143,0.46737182,0.4958982
2026-02-18 20:00:00+00:00,0.58839077,0.6465062,0.5366026,0.6074317
2026-02-18 21:00:00+00:00,0.6107239,0.5794312,0.59724116,0.47625247
2026-02-18 22:00:00+00:00,0.65464973,0.56696516,0.53993595,0.4998732
2026-02-18 23:00:00+00:00,0.55706555,0.49153614,0.53168243,0.4557134
2026-02-19 00:00:00+00:00,0.47954863,0.45807558,0.5189478,0.36947325
2026-02-19 01:00:00+00:00,0.5745317,0.4854273,0.5780538,0.48203632
2026-02-19 02:00:00+00:00,0.50794375,0.5224133,0.5946865,0.45925206
2026-02-19 03:00:00+00:00,0.61755586,0.62342924,0.6820936,0.6272375
2026-02-19 04:00:00+00:00,0.53756297,0.62019837,0.5628767,0.5756095
2026-02-19 05:00:00+00:00,0.5789753,0.626358,0.6244318,0.49240246
2026-02-19 06:00:00+00:00,0.47887984,0.6043405,0.6626173,0.671856
2026-02-19 07:00:00+00:00,0.55831224,0.4942209,0.5983139,0.6012703
2026-02-19 08:00:00+00:00,0.49004638,0.5330499,0.57019174,0.5541351
2026-02-19 09:00:00+00:00,0.5264569,0.62065125,0.6039424,0.5762661
2026-02-19 10:00:00+00:00,0.62159806,0.6738397,0.6808693,0.54414
